arf.insertRule	https://api.matriksdata.com/dumrul/v1/arf/rule	post		gz=False
arf.updateRule	https://api.matriksdata.com/dumrul/v1/arf/rule	put	active|id	gz=False
arf.getAllRules	https://api.matriksdata.com/dumrul/v1/arf/rules	get		gz=False
arf.getRule	https://api.matriksdata.com/dumrul/v1/arf/rule	get	id	gz=False
arf.deleteRule	https://api.matriksdata.com/dumrul/v1/arf/rule	delete	id	gz=False
arf_v2.insertRule	https://api.matriksdata.com/dumrul/v2/arf/rule	post		gz=False
arf_v2.updateRule	https://api.matriksdata.com/dumrul/v2/arf/rule	put	active|id	gz=False
arf_v2.getAllRules	https://api.matriksdata.com/dumrul/v2/arf/rules	get		gz=False
arf_v2.getRule	https://api.matriksdata.com/dumrul/v2/arf/rule	get	id	gz=False
arf_v2.deleteRule	https://api.matriksdata.com/dumrul/v2/arf/rule	delete	id	gz=False
historicTick.depth	https://apiank.matriksdata.com/dumrul/v1/tick/depth	get	symbol|start|end	gz=True
historicTick.settlement	https://apiank.matriksdata.com/dumrul/v1/tick/settlement	get	symbol|start|end	gz=True
historicTick.totalsize	https://apiank.matriksdata.com/dumrul/v1/tick/totalsize	get	symbol|start|end	gz=True
historicTick.trade	https://apiank.matriksdata.com/dumrul/v1/tick/trade	get	symbol|start|end	gz=True
historicTick.tradebs	https://apiank.matriksdata.com/dumrul/v1/tick/trade_bs	get	symbol|start|end	gz=False
historicTick.tradeex	https://apiank.matriksdata.com/dumrul/v1/tick/trade_ex	get	symbol|start|end	gz=False
historicTick.bestbidoffer	https://apiank.matriksdata.com/dumrul/v1/tick/bestbidoffer	get	symbol|start|end	gz=True
historicTick.barCsv	https://apiank.matriksdata.com/dumrul/v1/tick/bar.csv	get	symbol|period|start|end	gz=False
historicTick.openinterest	https://apiank.matriksdata.com/dumrul/v1/tick/openinterest	get	symbol|start|end	gz=True
wealth	https://apiank.matriksdata.com/dumrul/v1/wealth	get	symbol|fund|amount|period|start|end|excludeDefaults	gz=False
historicWealth	https://apiank.matriksdata.com/dumrul/v1/historic-wealth	get	symbols|divide|amount|period|start|end	gz=False
lntrade	https://apiank.matriksdata.com/dumrul/v1/lntrade	get	symbol|count	gz=True
news.search	https://apiank.matriksdata.com/dumrul/v2/news/search	get	query|language|count|withComment	gz=False
news.page	https://apiank.matriksdata.com/dumrul/v2/news/search/page	get	content|page|pageSize|qid	gz=True
news.id	https://apiank.matriksdata.com/dumrul/v2/news	get	id|fields	gz=True
news.meta	https://apiank.matriksdata.com/news-meta.json	get		gz=False
news.lastNNews	https://apiank.matriksdata.com/dumrul/v2/news/lastN	get	count|fields	gz=False
marketSymbolList	https://apiank.matriksdata.com/dumrul/v2/market-symbol-list	get	inline	gz=False
turibMarketSymbolList	https://apiank.matriksdata.com/dumrul/v1/turib-elus-market-symbol-list	get		gz=False
brokerTradingVolume	https://apiank.matriksdata.com/dumrul/v1/broker-trading-volume/stock	get	top|date|calculationFor|symbolList	gz=False
brokerViopTradingVolume	https://apiank.matriksdata.com/dumrul/v1/broker-trading-volume/future	get	top|date|calculationFor|submarketCode	gz=False
brokerOptionTradingVolume	https://apiank.matriksdata.com/dumrul/v1/broker-trading-volume/option	get	top|date|calculationFor|submarketCode	gz=False
tradeDistribution.broker	https://apiank.matriksdata.com/dumrul/v1/trade-distribution/brokers	get	symbolType|start|end|top|startSeconds|endSeconds|dividend	gz=False
tradeDistribution.equity	https://apiank.matriksdata.com/dumrul/v1/trade-distribution/equities	get	symbolType|start|end|startSeconds|endSeconds|top|agent	gz=False
tradeDistribution.singleequity	https://apiank.matriksdata.com/dumrul/v1/trade-distribution/equity	get	top|symbol	gz=False
metaData.symbols	https://apiank.matriksdata.com/dumrul/v3/meta/symbols	get	marketCode|exchangeId|symbolType|sectorId|submarketCode|marketId|modifiedAt|deleted|allSymbols|symbolCode	gz=True
metaData.turibMarkets	https://apiank.matriksdata.com/dumrul/v3/meta/markets/turib	get		gz=True
metaData.viopMarkets	https://apiank.matriksdata.com/dumrul/v3/meta/markets/viop	get		gz=True
metaData.markets	https://apiank.matriksdata.com/dumrul/v3/meta/markets	get		gz=True
metaData.members	https://apiank.matriksdata.com/dumrul/v3/meta/members	get		gz=True
metaData.exchanges	https://apiank.matriksdata.com/dumrul/v3/meta/exchanges	get		gz=True
metaData.sectors	https://apiank.matriksdata.com/dumrul/v3/meta/sectors	get		gz=True
metaData.sessionHours	https://apiank.matriksdata.com/dumrul/v1/session-hours	get	date	gz=False
metaData.dayCounter	https://apiank.matriksdata.com/dumrul/v1/meta/day-counter	get	symbol|start|end|type|period	gz=False
metaDataV4.symbols	https://apiank.matriksdata.com/dumrul/v4/meta/symbols	get	marketCode|exchangeId|symbolType|sectorId|submarketCode|marketId|modifiedAt|deleted|allSymbols|symbolCode	gz=True
