mx/stats/future/volume	rt=wss://rtank.radix.matriksdata.com/stats	dl=wss://dlank.radix.matriksdata.com:443/stats
mx/stats/osm/future/high	rt=wss://rtank.radix.matriksdata.com/stats	dl=wss://dlank.radix.matriksdata.com:443/stats
mx/stats/osm/future/low	rt=wss://rtank.radix.matriksdata.com/stats	dl=wss://dlank.radix.matriksdata.com:443/stats
mx/stats/osm/future/volume	rt=wss://rtank.radix.matriksdata.com/stats	dl=wss://dlank.radix.matriksdata.com:443/stats
mx/stats/gdk/future/high	rt=wss://rtank.radix.matriksdata.com/stats	dl=wss://dlank.radix.matriksdata.com:443/stats
mx/stats/gdk/future/low	rt=wss://rtank.radix.matriksdata.com/stats	dl=wss://dlank.radix.matriksdata.com:443/stats
mx/stats/gdk/future/volume	rt=wss://rtank.radix.matriksdata.com/stats	dl=wss://dlank.radix.matriksdata.com:443/stats
mx/stats/option/high	rt=wss://rtank.radix.matriksdata.com/stats	dl=wss://dlank.radix.matriksdata.com:443/stats
mx/stats/option/low	rt=wss://rtank.radix.matriksdata.com/stats	dl=wss://dlank.radix.matriksdata.com:443/stats
mx/stats/option/volume	rt=wss://rtank.radix.matriksdata.com/stats	dl=wss://dlank.radix.matriksdata.com:443/stats
mx/trade	rt=wss://rtank.radix.matriksdata.com/trade	dl=wss://dlank.radix.matriksdata.com:443/trade
mx/pgc	rt=wss://rtank.radix.matriksdata.com/trade	dl=wss://dlank.radix.matriksdata.com:443/trade
mx/depth	rt=wss://rtank.radix.matriksdata.com/depth	dl=wss://dlank.radix.matriksdata.com:443/depth
mx/depthstats	rt=wss://rtank.radix.matriksdata.com/depth	dl=wss://dlank.radix.matriksdata.com:443/depth
mx/booklet	rt=wss://rtank.radix.matriksdata.com/depth	dl=wss://dlank.radix.matriksdata.com:443/depth
mx/analytics/option	rt=wss://rtank.radix.matriksdata.com/analytics	dl=wss://dlank.radix.matriksdata.com:443/analytics
mx/analytics/warrant	rt=wss://rtank.radix.matriksdata.com/analytics	dl=wss://dlank.radix.matriksdata.com:443/analytics
mx/analytics/db/warrant	rt=wss://rtank.radix.matriksdata.com/analytics	dl=wss://dlank.radix.matriksdata.com:443/analytics
mx/analytics/akm/warrant	rt=wss://rtank.radix.matriksdata.com/analytics	dl=wss://dlank.radix.matriksdata.com:443/analytics
mx/analytics/garan/warrant	rt=wss://rtank.radix.matriksdata.com/analytics	dl=wss://dlank.radix.matriksdata.com:443/analytics
mx/arf	rt=wss://rt.radix.matriksdata.com/arf	dl=
mx/timestamp	rt=wss://rtank.radix.matriksdata.com:443/market	dl=
mx/session	rt=wss://rtstream.radix.matriksdata.com:443/session	dl=
mx/event/prime/symbol	rt=wss://rtank.radix.matriksdata.com/news	dl=
mx/event/prime/agent	rt=wss://rtank.radix.matriksdata.com/news	dl=
mx/event/prime/derivative	rt=wss://rtank.radix.matriksdata.com/news	dl=
mx/event/prime/index	rt=wss://rtank.radix.matriksdata.com/news	dl=
